,0,1
0,-0.08087358,-0.11438113
1,0.14631183,0.0020482312
2,0.034012806,-0.5076513
3,0.023257528,-0.027457137
4,-0.04902718,0.004420855
5,0.2901009,0.015382548
6,0.30197784,-0.22176048
7,-0.09530532,-0.050558966
8,0.11643492,-0.058899585
9,-0.09620122,0.081999004
10,-0.3597424,0.06696135
11,0.13323279,-0.2568259
12,-0.007928245,-0.047007654
13,0.22855607,-0.04412243
14,-0.10230179,-0.069499224
15,-0.085992284,-0.11278295
16,0.022690272,0.06191621
17,-0.006408821,0.13717265
18,-0.024719223,-0.033119917
19,0.019216785,0.12968901
20,0.24326973,0.09588516
21,-0.097698644,0.0803412
22,0.252308,-0.0020982549
23,-0.00838802,0.12193907
24,0.19503745,-0.03284741
25,0.17060025,0.061078407
26,0.0002956814,0.051470973
27,0.12391846,0.10227337
28,-0.22660993,0.14016998
29,-0.19305862,-0.11359345
30,0.11428835,0.012286156
31,-0.12834747,-0.62798864
32,-0.08281019,0.044120554
33,0.023588544,0.08549603
34,-0.17758897,-0.20184448
35,0.1147846,-0.23172446
36,0.094420865,-0.15608507
37,-0.22627413,-0.09993364
38,0.014827646,-0.012677865
39,0.1936707,0.047188137
40,-0.19933029,-0.11856863
41,0.27844724,0.0025002211
42,-0.0018293483,-0.012828816
43,0.2589562,0.0010163317
44,0.31019482,0.15885857
45,0.0088469405,0.13808471
46,0.28160828,-0.28864968
47,0.0024504205,-0.017005073
48,-0.2036453,-0.08992238
49,0.017487647,0.19783345
50,0.14249188,0.016551208
51,0.026705256,0.032763075
52,0.25606552,-0.21552022
53,0.23407666,-0.111794665
54,0.00076407776,0.12015774
55,-0.2046942,-0.08142461
56,0.005799787,-0.027858343
57,0.19460493,0.32800838
58,-0.12776202,0.00305871
59,0.0061776983,0.01629527
60,0.26940432,0.5970601
61,0.008860943,0.054622635
62,0.017638668,-0.070435405
63,-0.063265905,-0.07319051
64,0.0024446524,0.14226943
65,0.032547023,-0.03725904
66,-0.2108838,-0.1698532
67,0.16969913,0.061639488
68,-0.2060097,0.041997027
69,-0.22300094,0.11117961
70,0.019363977,-0.04403828
71,-0.17883793,0.054701254
72,-0.20765144,0.026083145
73,-0.10100483,0.1103623
74,0.16036816,0.1294371
75,-0.126774,0.061134376
76,0.014479087,0.0307106
77,-0.061653342,-0.076703764
78,0.1620764,-0.1211058
79,0.1052042,-0.22994977
80,-0.1009088,-0.009390135
81,0.02426214,0.011762888
82,-0.06281492,-0.09229687
83,-0.23610798,-0.051110275
84,0.18255666,0.0086366385
85,0.1226309,-0.040574633
86,0.12276648,-0.1650893
87,0.09438838,-0.04064263
88,0.002895382,0.16896577
89,-0.0003887883,-0.020891165
90,0.13170291,-0.09427574
91,0.25462574,-0.14763194
