topic,Y,iter
1,4.709199448742032,0
2,4.008371692592998,0
1,5.1234748989201675,1
2,5.622125982020066,1
1,6.0722586063005854,2
2,3.428577934283952,2
1,5.2967674695355,3
2,5.4516826394299365,3
1,6.407801452025675,4
2,3.06850495764128,4
1,5.949621074447841,5
2,5.32701332925573,5
1,6.324162257774851,6
2,2.1549783264478766,6
1,5.259903012314579,7
2,6.403145969604123,7
1,4.994645046661775,8
2,4.036772378706386,8
1,7.473102496782155,9
2,3.6442634146812507,9
1,7.064216293824211,10
2,5.475125326980953,10
1,4.3255882392937774,11
2,4.309564046545193,11
1,4.993152832362674,12
2,4.493891412873419,12
1,4.520899986441345,13
2,6.366146357516787,13
1,4.588658789291295,14
2,4.112696826761636,14
1,5.049444587671712,15
2,4.222578880503736,15
1,3.8025759673164647,16
2,5.705658511789055,16
1,6.361488887330654,17
2,4.787249554294585,17
1,3.3519624891364987,18
2,4.257503242135817,18
1,5.995670933972076,19
2,5.312471863705893,19
1,4.195150284652852,20
2,3.9405484566535094,20
1,4.008133360480629,21
2,6.597231461495964,21
1,2.3413753268441564,22
2,6.41429178895296,22
1,3.0198494466261616,23
2,5.31101706447394,23
1,1.2190861735937037,24
2,7.579037669045348,24
1,3.159079296104836,25
2,6.416414087687597,25
1,5.406600743473467,26
2,6.459303248482364,26
1,4.335795421541822,27
2,6.496108563148409,27
1,3.2514617153087846,28
2,6.302675649015296,28
1,2.5403368532719424,29
2,6.129507818683755,29
1,4.3855658583455295,30
2,6.128537070403292,30
1,2.593295146246487,31
2,6.625815746294755,31
1,3.7337595033000706,32
2,5.468444591248481,32
1,4.721258905123044,33
2,5.40042270630932,33
1,2.3893804044391738,34
2,7.631522552209692,34
1,3.3705827313273597,35
2,5.966013992812527,35
1,2.8025273481582818,36
2,6.286516671848398,36
1,4.16053778639884,37
2,5.011319631424943,37
1,3.060599131373434,38
2,5.922335469852612,38
1,3.592678879006302,39
2,6.102148379619371,39
1,0.8652086770178496,40
2,8.176389658206814,40
1,2.09906575675287,41
2,6.517991455492793,41
1,4.378831553775832,42
2,6.693253851744221,42
1,4.57880348179126,43
2,4.302724741472656,43
1,4.558731156030015,44
2,4.7108056588573035,44
1,3.623237591972156,45
2,7.480840882657107,45
1,4.050841019907435,46
2,4.569697463633043,46
1,4.712581261328611,47
2,6.65502429078442,47
1,6.74541594278375,48
2,4.740474667747698,48
1,4.213385658830021,49
2,4.995381158755417,49
1,4.688807098500368,50
2,5.982334796745075,50
1,3.35121094395036,51
2,3.9304379165425747,51
1,7.415045668458565,52
2,5.637710323733262,52
1,3.364759118078332,53
2,6.670336447227665,53
1,2.9907273364096016,54
2,6.513186030413513,54
1,2.300857026228284,55
